name,category,address,country,latitude,longitude
Randolph Pub Ludique,Amusement Park,2041 Saint-Denis Rue,CA,45.516495,-73.565819
Le 4e Mur,Music Venue,2021 Saint-Denis Rue,CA,45.516216,-73.565568
Patrick'S Pub Irlandais,Irish Pub,1707 Saint-Denis Rue,CA,45.515508,-73.564043
Le Cheval Blanc,Bar,809 Ontario Rue E,CA,45.51817,-73.564467
Bibliothèque et Archives nationales du Québec,Library,475 Blvd de Maisonneuve Est,CA,45.515487,-73.562251
Maison de Thé Camellia Sinensis,Café,351 Emery Rue,CA,45.514661,-73.563774
Vua Sandwichs,Sushi Restaurant,1579 Saint-Denis Rue,CA,45.514746,-73.562372
Saint-Houblon,Gastropub,1567 Saint-Denis Rue,CA,45.514696,-73.562032
Cineplex Cinemas,Movie Theater,350 Emery Rue,CA,45.514488,-73.563914
Le Mousso,Restaurant,1023 Ontario Rue E,CA,45.520127,-73.563173
Bagatelle Bistro,Bistro,4323 Ontario Rue E,CA,45.552875,-73.539781
Les gourmandises de Marie-Antoinette,Bakery,4317 Ontario Rue E,CA,45.552817,-73.539828
Le Bièrologue - le Vinologue,Beer Store,4301 Ontario Rue E,CA,45.552759,-73.539874
Hoche Café,Café,4299 Ontario Rue E,CA,45.55247,-73.540108
Fromagerie Marche Maisonneuve,Cheese Store,4445 Ontario Rue E,CA,45.554138,-73.539142
L'Olive Noire,Middle Eastern Restaurant,4271 Ontario Rue E,CA,45.552183,-73.540244
Hélicoptère,Gastropub,4255 Ontario Rue E,CA,45.552068,-73.540338
Maison de la culture Maisonneuve,Concert Hall,4200 Ontario Rue E,CA,45.551163,-73.540115
Mercier-Hochelaga-Maisonneuve,Library,4120 Ontario Rue E,CA,45.550641,-73.540632
Hoche Glacé,Café,2225 Bennett Ave,CA,45.556144,-73.541144
La Banquise,Diner,994 Rachel Rue E,CA,45.525348,-73.574677
Parc la Fontaine,Park,3933 rue du Parc-Lafontaine,CA,45.526246,-73.569666
Grillade Portuguaise ma Poule Mouillée,Bakery,969 Rachel Rue E,CA,45.525165,-73.575301
Boulangerie Pâtisserie Mr Pinchot,Bakery,4354 rue de Brébeuf,CA,45.52822,-73.57598
Café le Loup Bleu,Café,1279 Marie-Anne Rue E,CA,45.528686,-73.575413
Le Parloir,Tea Room,4354 Christophe Colomb Ave,CA,45.526887,-73.577245
Le Moineau Masqué,Café,912 Marie-Anne Rue E,CA,45.525508,-73.577976
Point G,Ice Cream Parlor,1266 Ave du Mont-Royal Est,CA,45.529435,-73.577666
Aux 33 Tours,Music Store,1373 Ave du Mont-Royal Est,CA,45.530643,-73.576978
Ô Breton,Creperie,1201 Ave Mont-Royal E,CA,45.529021,-73.578477
SAQ Express-Lajeunesse - Fleury,Liquor Store,10418 Lajeunesse Rue,CA,45.553888,-73.66456
Parc Ahuntsic,Park,10555 Lajeunesse Rue,CA,45.555192,-73.667417
La fromagerie Hamel,Cheese Store,975 Fleury Rue E,CA,45.557629,-73.659645
Rachelle-Bery Produits Naturels,Organic Grocery,905 Fleury Rue E,CA,45.557282,-73.659924
Uber Cafbar,Lounge,1011 Fleury Rue E,CA,45.557974,-73.659463
Cafe le Petit Flore Inc,Bistro,1145 Fleury Rue E,CA,45.558666,-73.659001
Iga Khetani,Grocery Store,905 Fleury Rue E,CA,45.557227,-73.659874
Restaurant la Molisana,Pizzeria,1014 Fleury Rue E,CA,45.557869,-73.659071
Citron que c'est bon,Farmers Market,61 Fleury Rue O,CA,45.547498,-73.6657
IGA Alimentation Beaubien et Fille Inc,Grocery Store,10760 Millen Ave,CA,45.556656,-73.668049
Cirque du Soleil - Siège Social International,Arts and Entertainment,8400 2e Ave,CA,45.56146,-73.615016
Parc Fréderic-Back,Park,N/A,CA,45.560541,-73.61547
Pho Ngon,Vietnamese Restaurant,3205 Cremazie Blvd E,CA,45.562234,-73.607816
Tim Hortons,"Cafe, Coffee, and Tea House",8115 Papineau Ave,CA,45.553589,-73.619071
SAQ Sélection-Papineau - Crémazie,Grocery Store,8405 Papineau Ave,CA,45.556054,-73.623565
Poissonnerie Méditerranée,Deli,7735 Saint-Michel Blvd,CA,45.562449,-73.605641
Marché Aux Puces St-Michel,Antique Store,7707 Shelley Ave,CA,45.56269,-73.60497
Harvey's,Restaurant,3201 Cremazie Blvd E,CA,45.561773,-73.608092
Subway,Deli,7900 St Michel Blvd,CA,45.562292,-73.607769
Boulangerie & Pâtisserie Tillemont Inc,Bakery,1812 Tillemont Rue,CA,45.552123,-73.615774
