name_x,address,category,latitude_x,longitude_x,rating,rounded_latitude,rounded_longitude,name_y,latitude_y,longitude_y,free_bikes
Bagatelle,"4323 Rue Ontario E, Montreal, QC H1V 1K5, Canada","French, Breakfast & Brunch",45.5528219,-73.5396242,4.0,45.553,-73.54,Marché Maisonneuve,45.55321884238814,-73.53978216648102,11
Les Gourmandises de Marie-Antoinette,"4317 Rue Ontario E, Montreal, QC H1V 1K5, Canada","Bakeries, Tea Rooms",45.5529099,-73.5397797,4.5,45.553,-73.54,Marché Maisonneuve,45.55321884238814,-73.53978216648102,11
Pita Bar,"4315 Rue Ontario E, Montreal, QC H1V 1K5, Canada",Greek,45.552803,-73.539842,3.5,45.553,-73.54,Marché Maisonneuve,45.55321884238814,-73.53978216648102,11
India Rosa,"1241 Avenue du Mont-Royal E, Montreal, QC H2J 1Y2, Canada","Indian, Cocktail Bars, Tapas Bars",45.529291,-73.578237,4.0,45.529,-73.578,du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,6
Le Rouge Gorge,"1234 Mont-royal E, Montreal, QC H2J 1Y2, Canada","Wine Bars, Tapas/Small Plates",45.5291117540899,-73.5779781639576,4.5,45.529,-73.578,du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,6
Pizzédélic,"1250 avenue du Mont-Royal Est, Montreal, QC H2J 1Y3, Canada","Pizza, Food Delivery Services",45.5293987,-73.5778183,3.5,45.529,-73.578,du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,6
Au Pain Perdu,"4489 Rue de la Roche, Montreal, QC H2J 3J1, Canada",Breakfast & Brunch,45.528691,-73.578071,3.5,45.529,-73.578,du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,6
Boîte Geisha Fusion Sushi,"1209 Mount Royal Avenue E, Montreal, QC H2J 1Y2, Canada","Japanese, Sushi Bars",45.528972044224545,-73.57848567435575,4.5,45.529,-73.578,du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,6
Ibéricos,"4475 Rue Saint-Denis, Montreal, QC H2J 2L2, Canada","Spanish, Tapas Bars",45.5239019496467,-73.5824299603701,4.5,45.524,-73.582,Métro Mont-Royal (Utilités publiques / Rivard),45.52423612093815,-73.58155220746994,2
Café Gentile,"9299 Avenue du Parc, Montreal, QC H2N 2A2, Canada","Sandwiches, Breakfast & Brunch",45.5381974,-73.6545097,4.0,45.538,-73.655,Chabanel / du Parc,45.53830765459552,-73.6548838019371,12
Ristorante Primo & Secondo,"7023 Saint-Dominique Rue, Montreal, QC H2S 3B6, Canada",Italian,45.53455,-73.61537,4.5,45.535,-73.615,Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,22
Bar A Tapas Tapeo,"511 Rue Villeray E, Montreal, QC H2R 1H5, Canada","Tapas Bars, Spanish",45.541609389972734,-73.62266780745756,4.5,45.542,-73.623,Lajeunesse / Villeray,45.54218173507584,-73.62268656492233,5
Beautys Luncheonette,"93 Avenue du Mont-Royal O, Montreal, QC H2T 2S5, Canada","Breakfast & Brunch, Diners",45.51911,-73.58748,3.5,45.519,-73.587,du Mont-Royal / Clark,45.51941,-73.58685,8
Sak's Sandwicherie,"7387 Boulevard Saint-Michel, Montreal, QC H2A 3A1, Canada","Sandwiches, Cambodian",45.560285,-73.601021,3.5,45.56,-73.601,CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,10
Champion,"3571 Rue Beaubien E, Montreal, QC H1X 1H1, Canada",Pizza,45.55791,-73.58412,3.0,45.558,-73.584,Collège de Rosemont (Beaubien / 15e avenue),45.55774990838239,-73.58380123972893,6
La Tour de Montréal,"Rue Viau  3200, Parc Olympique de Montréal, Montreal, QC H1V 3J3, Canada","Landmarks & Historical Buildings, Observatories",45.55954571090903,-73.55213435453454,4.0,45.56,-73.552,La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.55970526805903,-73.55155438184738,0
L'Usine de Spaghetti,"273 Rue Saint Paul E, Montreal, QC H2Y 1H1, Canada",Italian,45.5081154,-73.5523441,4.0,45.508,-73.552,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,21
Toqué,"900 Place Jean-Paul-Riopelle, Montreal, QC H2Z 2B2, Canada",Canadian (New),45.5029475,-73.5612041,4.5,45.503,-73.561,St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532,3
Shawarmaz,"1206 Rue Peel, Montreal, QC H3B 2T6, Canada","Middle Eastern, Mediterranean",45.499508,-73.572079,4.0,45.5,-73.572,du Square Dorchester / Peel,45.49969963056761,-73.57193648815155,0
McLean's Pub,"1210 Rue Peel, Montreal, QC H3B 2T6, Canada",Pubs,45.499552,-73.572148,4.0,45.5,-73.572,du Square Dorchester / Peel,45.49969963056761,-73.57193648815155,0
La Petite Marche,"5035 Rue Saint-Denis, Montreal, QC H2J 2L9, Canada","Music Venues, Bistros",45.526767424287,-73.5887682718476,3.5,45.527,-73.589,Laurier / St-Denis,45.52714838624861,-73.58947947621346,1
La Boîte Gourmande,"445 Avenue Laurier E, Montreal, QC H2J 1E5, Canada","Breakfast & Brunch, Desserts",45.52745,-73.58935,3.5,45.527,-73.589,Laurier / St-Denis,45.52714838624861,-73.58947947621346,1
Sandwiches Cao Lanh,"2651 Rue Ontario E, Montreal, QC H2K 1X1, Canada","Sandwiches, Sushi Bars, Vietnamese",45.534242,-73.551867,4.0,45.534,-73.552,Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,12
Kien Giang Express,"2669 Rue Ontario E, Montreal, QC H2K 1X1, Canada",Sushi Bars,45.53449,-73.55194,5.0,45.534,-73.552,Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,12
