name,address,category,latitude,longitude,rating
Le Saint-Bock,"1749 Rue Saint-Denis, Montreal, QC H2X 3K4, Canada",Brasseries,45.5158203,-73.564641,4.0
Pizzeria Dei Compari,"1668 Rue Saint-Denis, Montreal, QC H2X 3K6, Canada",Pizza,45.515,-73.56375,4.0
Bouillon Bilk,"1595 Boulevard Saint-Laurent, Montreal, QC H2X 2S9, Canada",Modern European,45.51104,-73.5658,4.5
Poutineville,"1365 Rue Ontario E, Montreal, QC H2L 1S1, Canada",Poutineries,45.523205,-73.5613,4.5
Les Deux Gamins,"170 Rue Prince Arthur E, Montreal, QC H2X 1B7, Canada","French, Wine Bars, Cocktail Bars",45.51545,-73.57095,4.0
L'Amère à Boire,"2049 Rue Saint-Denis, Montreal, QC H2X 3K8, Canada","Tapas Bars, Brewpubs",45.51642,-73.566042,4.0
Le 4e Mur,"2021 Rue Saint-Denis, Montreal, QC H2X 3K8, Canada",Speakeasies,45.5161779,-73.5657819,4.5
L'Express,"3927 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",French,45.52032,-73.57437,4.0
Le Mousso,"1023 Rue Ontario E, Montreal, QC H2L 1P8, Canada",Canadian (New),45.52006,-73.56322,4.5
Arepera,"73 Rue Prince Arthur E, Montreal, QC H2X 1B4, Canada",Venezuelan,45.514992,-73.572048,4.5
Vua,"1579 Rue Saint-Denis, Montreal, QC H2X 3K3, Canada","Vietnamese, Asian Fusion, Sandwiches",45.51485,-73.56229,4.0
Randolph Pub Ludique,"2041 Rue Saint-Denis, Montreal, QC H2X 3K8, Canada","Pubs, Social Clubs, Breweries",45.5164298,-73.5660051,4.5
Juliette & Chocolat,"1615 Rue Saint-Denis, Montreal, QC H2X 3K3, Canada","Desserts, Creperies, Chocolatiers & Shops",45.51500120128985,-73.56277965889556,4.0
Les 3 Brasseurs,"1658 St-Denis, Montreal, QC H2X 3K6, Canada","Pubs, Breweries",45.5149237507194,-73.5634950070926,3.5
Resto Végo,"1720 Rue Saint-Denis, Montreal, QC H2X 3K6, Canada","Vegetarian, Vegan, Gluten-Free",45.515505,-73.564665,4.0
La Distillerie No.1,"300 Rue Ontario E, Montreal, QC H2X 1H6, Canada",Cocktail Bars,45.514822,-73.565401,4.5
